epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,344.572,2.41697,9.76761,2.9018,0.6194,0.73678,0.78601,0.58073,1.96282,3.5565,2.73822,0.00333167,0.00333167,0.00333167
2,671.389,2.34082,4.90894,2.69191,0.75159,0.81712,0.88562,0.64845,2.01822,1.66323,2.74661,0.0066518,0.0066518,0.0066518
3,995.678,2.45704,3.05952,2.72273,0.84742,0.83569,0.93191,0.66234,2.07619,1.36991,2.7674,0.00995874,0.00995874,0.00995874
4,1319.38,2.48549,2.34352,2.71141,0.90057,0.9457,0.96575,0.70622,2.00494,1.02608,2.68675,0.0099406,0.0099406,0.0099406
5,1642.96,2.31901,1.76616,2.59331,0.949,0.9505,0.98373,0.74216,1.87393,0.83103,2.55779,0.0099208,0.0099208,0.0099208
6,1966.38,2.20378,1.53954,2.52017,0.95623,0.97806,0.98715,0.76159,1.78914,0.72717,2.5019,0.009901,0.009901,0.009901
7,2293.1,2.12401,1.39649,2.46984,0.95708,0.967,0.98723,0.76836,1.69563,0.69156,2.43155,0.0098812,0.0098812,0.0098812
8,2616.74,2.06672,1.29862,2.45578,0.97475,0.97472,0.98878,0.77403,1.70791,0.65774,2.43878,0.0098614,0.0098614,0.0098614
9,2940.39,2.02755,1.23478,2.42559,0.97436,0.98749,0.98936,0.78714,1.64501,0.61936,2.38555,0.0098416,0.0098416,0.0098416
10,3263.85,1.98092,1.17944,2.40104,0.97462,0.98007,0.98974,0.79158,1.62181,0.60101,2.37961,0.0098218,0.0098218,0.0098218
11,3587.25,1.93966,1.12657,2.37637,0.98076,0.98711,0.99162,0.80025,1.56975,0.5719,2.32984,0.009802,0.009802,0.009802
12,3910.53,1.93001,1.09883,2.36991,0.98489,0.98446,0.99173,0.80273,1.55907,0.5757,2.32694,0.0097822,0.0097822,0.0097822
13,4233.93,1.90134,1.08273,2.34758,0.98002,0.9855,0.99063,0.81083,1.50701,0.54946,2.28964,0.0097624,0.0097624,0.0097624
14,4557.24,1.86785,1.04158,2.32972,0.98995,0.98992,0.99168,0.81004,1.52016,0.52967,2.27874,0.0097426,0.0097426,0.0097426
