epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13950.1,1.55805,0.75277,2.18459,0.98751,0.99472,0.99389,0.85609,1.29591,0.4266,2.15234,0.005842,0.005842,0.005842
44,14274.1,1.54623,0.7544,2.18155,0.98911,0.99521,0.99401,0.85597,1.29462,0.42391,2.15253,0.005743,0.005743,0.005743
45,14598.1,1.54017,0.74826,2.17692,0.98633,0.99461,0.99377,0.85612,1.29306,0.42585,2.15147,0.005644,0.005644,0.005644
46,14922.1,1.52558,0.74502,2.16984,0.98672,0.99541,0.99382,0.85527,1.29175,0.42393,2.15069,0.005545,0.005545,0.005545
47,15246.2,1.52159,0.74146,2.16609,0.98638,0.9955,0.99398,0.85487,1.29025,0.42377,2.14965,0.005446,0.005446,0.005446
48,15570.1,1.5117,0.72532,2.16521,0.98738,0.99525,0.9941,0.85573,1.28877,0.42294,2.14969,0.005347,0.005347,0.005347
49,15894.2,1.50733,0.72469,2.16337,0.98769,0.99552,0.99416,0.85566,1.28884,0.4226,2.14952,0.005248,0.005248,0.005248
50,16218.2,1.49963,0.7169,2.15386,0.98584,0.9968,0.99408,0.85632,1.28876,0.42192,2.14894,0.005149,0.005149,0.005149
51,16542.1,1.5002,0.70884,2.15922,0.98721,0.99703,0.99406,0.85639,1.28816,0.41915,2.14822,0.00505,0.00505,0.00505
52,16866.1,1.4935,0.70493,2.1549,0.98622,0.997,0.99403,0.85705,1.28654,0.41953,2.14716,0.004951,0.004951,0.004951
53,17190.3,1.48421,0.70847,2.15012,0.98822,0.99595,0.99401,0.85723,1.28494,0.4196,2.14577,0.004852,0.004852,0.004852
54,17514.4,1.47739,0.70122,2.14462,0.98451,0.997,0.99378,0.85651,1.2839,0.41893,2.14544,0.004753,0.004753,0.004753
55,17838.6,1.47673,0.69819,2.14779,0.98552,0.996,0.99367,0.85706,1.28296,0.41876,2.14467,0.004654,0.004654,0.004654
56,18162.6,1.46802,0.68161,2.14317,0.98837,0.99526,0.99395,0.85819,1.2819,0.41612,2.14386,0.004555,0.004555,0.004555
57,18486.7,1.45665,0.68493,2.13634,0.98795,0.99694,0.99404,0.85794,1.28049,0.41757,2.14304,0.004456,0.004456,0.004456
58,18810.5,1.46103,0.68162,2.13828,0.98628,0.99668,0.994,0.8589,1.27871,0.41649,2.14189,0.004357,0.004357,0.004357
59,19134.6,1.44428,0.67281,2.1289,0.98757,0.99342,0.99395,0.85926,1.27747,0.41647,2.14089,0.004258,0.004258,0.004258
60,19458.6,1.43688,0.67176,2.12182,0.98535,0.99539,0.99392,0.85931,1.27592,0.41676,2.13958,0.004159,0.004159,0.004159
61,19782.7,1.43976,0.66805,2.12632,0.98578,0.99584,0.99399,0.85979,1.27469,0.41585,2.13864,0.00406,0.00406,0.00406
62,20106.7,1.43373,0.66747,2.12549,0.98828,0.99474,0.99394,0.86069,1.27335,0.41553,2.13768,0.003961,0.003961,0.003961
63,20430.7,1.42652,0.66525,2.1185,0.98645,0.99625,0.99397,0.86089,1.27248,0.4149,2.13691,0.003862,0.003862,0.003862
64,20754.7,1.41195,0.65482,2.1132,0.98706,0.99589,0.99385,0.86135,1.27102,0.41318,2.13597,0.003763,0.003763,0.003763
65,21078.9,1.4155,0.65015,2.115,0.98746,0.99504,0.99385,0.86158,1.26986,0.41224,2.135,0.003664,0.003664,0.003664
66,21403,1.40774,0.65392,2.10898,0.98715,0.99606,0.99397,0.86177,1.26874,0.41213,2.13389,0.003565,0.003565,0.003565
67,21726.9,1.40463,0.64916,2.10487,0.98831,0.99662,0.99392,0.86221,1.26767,0.41227,2.13324,0.003466,0.003466,0.003466
68,22050.9,1.3915,0.63572,2.10077,0.9861,0.996,0.99391,0.86227,1.26623,0.41142,2.13213,0.003367,0.003367,0.003367
69,22374.9,1.38728,0.64097,2.10045,0.98543,0.99571,0.99391,0.86239,1.26604,0.41316,2.13195,0.003268,0.003268,0.003268
70,22698.9,1.38599,0.63309,2.09618,0.98654,0.99617,0.99395,0.86185,1.26467,0.41282,2.13122,0.003169,0.003169,0.003169
71,23023,1.37536,0.63006,2.09287,0.98591,0.9957,0.99396,0.862,1.26434,0.41271,2.1306,0.00307,0.00307,0.00307
72,23346.9,1.36807,0.62422,2.09475,0.98769,0.99551,0.99393,0.86225,1.26367,0.41164,2.13056,0.002971,0.002971,0.002971
73,23670.9,1.36525,0.62011,2.0863,0.98711,0.99547,0.99382,0.86297,1.26309,0.41046,2.12977,0.002872,0.002872,0.002872
74,23995,1.35708,0.623,2.08613,0.98605,0.99571,0.99383,0.86247,1.26156,0.41019,2.12898,0.002773,0.002773,0.002773
75,24319,1.35179,0.61067,2.07958,0.98988,0.99218,0.99384,0.86292,1.26053,0.40933,2.12776,0.002674,0.002674,0.002674
76,24643.1,1.34128,0.60014,2.0828,0.98725,0.9955,0.99382,0.86337,1.25973,0.40927,2.1268,0.002575,0.002575,0.002575
77,24967.1,1.33523,0.59851,2.06803,0.98852,0.99527,0.99393,0.86357,1.25863,0.40832,2.12612,0.002476,0.002476,0.002476
78,25291.3,1.33621,0.6015,2.07696,0.98565,0.99571,0.99391,0.8636,1.25706,0.40984,2.12538,0.002377,0.002377,0.002377
79,25615.5,1.32929,0.59734,2.07306,0.98674,0.99577,0.99394,0.86399,1.25581,0.40852,2.12483,0.002278,0.002278,0.002278
80,25939.3,1.31426,0.59218,2.06665,0.9879,0.99612,0.99387,0.86395,1.25489,0.40677,2.12463,0.002179,0.002179,0.002179
81,26263.5,1.31389,0.587,2.06594,0.98962,0.9958,0.99395,0.86351,1.25349,0.40602,2.1236,0.00208,0.00208,0.00208
82,26587.6,1.30311,0.58214,2.0654,0.98799,0.99529,0.99396,0.86398,1.25256,0.40653,2.1231,0.001981,0.001981,0.001981
83,26911.8,1.29799,0.58217,2.05929,0.98925,0.99517,0.99398,0.86335,1.25145,0.40555,2.12234,0.001882,0.001882,0.001882
84,27236.1,1.29088,0.57463,2.05463,0.98592,0.99648,0.99418,0.86379,1.25046,0.40669,2.12154,0.001783,0.001783,0.001783
85,27560.4,1.27899,0.57108,2.04833,0.98866,0.99595,0.9941,0.86436,1.24935,0.40581,2.12077,0.001684,0.001684,0.001684
86,27884.6,1.26505,0.56212,2.04258,0.99103,0.9965,0.99427,0.86424,1.24801,0.40147,2.11988,0.001585,0.001585,0.001585
87,28208.7,1.26686,0.56603,2.04707,0.99079,0.997,0.99425,0.86406,1.24703,0.40184,2.11948,0.001486,0.001486,0.001486
88,28533,1.26409,0.55654,2.03911,0.98747,0.997,0.99418,0.86434,1.2458,0.40233,2.11884,0.001387,0.001387,0.001387
89,28857.2,1.24982,0.55305,2.03514,0.98888,0.9975,0.99424,0.86458,1.24466,0.40149,2.11756,0.001288,0.001288,0.001288
90,29181.5,1.24506,0.54969,2.03351,0.98916,0.99707,0.99428,0.86523,1.24358,0.40043,2.11674,0.001189,0.001189,0.001189
91,29504.8,1.07597,0.39559,2.04297,0.99111,0.9965,0.99421,0.86499,1.24186,0.39889,2.11545,0.00109,0.00109,0.00109
92,29827.6,1.0625,0.39126,2.03234,0.9877,0.997,0.99417,0.86547,1.24021,0.39833,2.11432,0.000991,0.000991,0.000991
93,30150.2,1.05274,0.38523,2.02729,0.99095,0.99658,0.99424,0.8659,1.23824,0.39757,2.11308,0.000892,0.000892,0.000892
94,30472.8,1.04028,0.37845,2.01725,0.99047,0.99484,0.99415,0.86574,1.23731,0.39638,2.11217,0.000793,0.000793,0.000793
95,30795.6,1.03011,0.37485,2.01263,0.99185,0.99536,0.99426,0.86633,1.23513,0.39654,2.11102,0.000694,0.000694,0.000694
96,31118.2,1.02343,0.37245,2.01194,0.99037,0.99475,0.99428,0.86656,1.23359,0.39702,2.11003,0.000595,0.000595,0.000595
97,31441,1.01209,0.36725,1.99777,0.99007,0.99545,0.99428,0.86743,1.23196,0.39447,2.10899,0.000496,0.000496,0.000496
98,31763.9,1.00071,0.36249,1.98855,0.9901,0.99544,0.99431,0.86718,1.2304,0.3932,2.10803,0.000397,0.000397,0.000397
99,32086.7,0.9917,0.35826,1.98754,0.98857,0.99597,0.99432,0.86724,1.22924,0.3933,2.10695,0.000298,0.000298,0.000298
100,32409.2,0.98566,0.35448,1.97685,0.98966,0.99598,0.99433,0.86816,1.2279,0.3926,2.10626,0.000199,0.000199,0.000199
