epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
14,4733.12,1.86672,1.05009,2.36393,0.98321,0.98347,0.99044,0.81122,1.49858,0.54876,2.32378,0.009142,0.009142,0.009142
15,5050.49,1.83989,1.02826,2.34386,0.97889,0.97476,0.99007,0.81391,1.4836,0.56066,2.31901,0.009076,0.009076,0.009076
16,5367.68,1.8193,1.00755,2.335,0.98905,0.98549,0.99216,0.81797,1.47404,0.52213,2.30928,0.00901,0.00901,0.00901
17,5684.83,1.79253,0.98177,2.32192,0.98054,0.98981,0.99173,0.82097,1.46267,0.52226,2.29325,0.008944,0.008944,0.008944
18,6002.45,1.78768,0.96696,2.31996,0.97989,0.98656,0.99199,0.82361,1.43699,0.51528,2.26991,0.008878,0.008878,0.008878
19,6319.59,1.77239,0.94604,2.31119,0.98377,0.98547,0.9918,0.82678,1.43436,0.5059,2.26497,0.008812,0.008812,0.008812
20,6636.67,1.76787,0.94986,2.30326,0.98691,0.99125,0.99325,0.82921,1.41559,0.48657,2.2576,0.008746,0.008746,0.008746
21,6953.75,1.74364,0.92453,2.28971,0.98631,0.99302,0.99322,0.83241,1.41461,0.48749,2.25777,0.00868,0.00868,0.00868
22,7270.75,1.73633,0.91648,2.28425,0.97936,0.99593,0.99285,0.83416,1.40594,0.48783,2.24779,0.008614,0.008614,0.008614
23,7587.8,1.72116,0.90772,2.28162,0.9821,0.99477,0.99294,0.83878,1.38997,0.48443,2.23526,0.008548,0.008548,0.008548
24,7904.81,1.71911,0.90445,2.27531,0.98403,0.99338,0.9931,0.83864,1.37913,0.47581,2.23076,0.008482,0.008482,0.008482
25,8221.81,1.70084,0.8798,2.26721,0.98821,0.98543,0.99331,0.8387,1.38062,0.4831,2.23024,0.008416,0.008416,0.008416
26,8538.86,1.69502,0.87747,2.26595,0.99053,0.9805,0.99259,0.83495,1.38002,0.48132,2.23401,0.00835,0.00835,0.00835
27,8855.88,1.6854,0.87213,2.25792,0.98614,0.9842,0.99307,0.83971,1.37053,0.4706,2.22373,0.008284,0.008284,0.008284
28,9173.06,1.67277,0.87381,2.25093,0.9884,0.9823,0.99348,0.83848,1.36486,0.47093,2.22207,0.008218,0.008218,0.008218
29,9490.11,1.6723,0.85371,2.25456,0.98357,0.98944,0.99311,0.83896,1.36265,0.46819,2.21615,0.008152,0.008152,0.008152
30,9807.24,1.66505,0.85283,2.24422,0.98458,0.99253,0.99371,0.84248,1.35046,0.46777,2.20569,0.008086,0.008086,0.008086
31,10124.3,1.65802,0.83971,2.24585,0.98617,0.99093,0.99335,0.84506,1.34531,0.46054,2.20057,0.00802,0.00802,0.00802
32,10441.4,1.64697,0.83282,2.23885,0.98478,0.99163,0.99289,0.84682,1.33351,0.45761,2.19658,0.007954,0.007954,0.007954
33,10758.3,1.64333,0.83082,2.23483,0.98152,0.98987,0.99264,0.84568,1.33236,0.46143,2.19613,0.007888,0.007888,0.007888
34,11075.5,1.63475,0.82134,2.23199,0.97724,0.99129,0.99285,0.84507,1.3346,0.4629,2.19585,0.007822,0.007822,0.007822
35,11392.4,1.62012,0.81398,2.22456,0.97914,0.99423,0.99275,0.84553,1.3305,0.45386,2.19246,0.007756,0.007756,0.007756
36,11709.3,1.63295,0.81752,2.23173,0.98932,0.98655,0.99327,0.84888,1.32648,0.44526,2.18928,0.00769,0.00769,0.00769
37,12026.4,1.61161,0.80711,2.22351,0.98346,0.99543,0.99353,0.84937,1.32292,0.43851,2.18652,0.007624,0.007624,0.007624
38,12343.3,1.61308,0.79973,2.21618,0.98711,0.99629,0.99368,0.85026,1.31808,0.43749,2.18434,0.007558,0.007558,0.007558
39,12660.2,1.60848,0.79973,2.21663,0.98332,0.99523,0.99335,0.84944,1.31645,0.44065,2.18011,0.007492,0.007492,0.007492
40,12977.4,1.59528,0.77786,2.20551,0.98291,0.9939,0.99315,0.85048,1.31603,0.44224,2.17804,0.007426,0.007426,0.007426
41,13294.4,1.58519,0.77787,2.20378,0.98954,0.98701,0.99313,0.85043,1.31331,0.44348,2.17501,0.00736,0.00736,0.00736
42,13611.4,1.58817,0.77918,2.20653,0.98993,0.9834,0.99326,0.8508,1.31073,0.44455,2.17321,0.007294,0.007294,0.007294
43,13928.6,1.58521,0.77481,2.20215,0.98601,0.99346,0.9935,0.85098,1.30869,0.43572,2.17257,0.007228,0.007228,0.007228
44,14245.7,1.57673,0.76597,2.198,0.98843,0.9944,0.9936,0.85145,1.30746,0.43076,2.17128,0.007162,0.007162,0.007162
45,14562.7,1.58014,0.75926,2.1986,0.98855,0.99489,0.99382,0.85151,1.30457,0.43045,2.16902,0.007096,0.007096,0.007096
46,14879.7,1.566,0.76648,2.19504,0.98936,0.9957,0.99376,0.85314,1.30266,0.42639,2.16762,0.00703,0.00703,0.00703
47,15196.6,1.56644,0.75539,2.19088,0.98682,0.99487,0.99368,0.85351,1.30031,0.42421,2.16656,0.006964,0.006964,0.006964
48,15513.6,1.56313,0.74417,2.19284,0.98341,0.9962,0.99347,0.85381,1.29917,0.42606,2.16505,0.006898,0.006898,0.006898
49,15830.7,1.55398,0.74825,2.18945,0.98669,0.99656,0.9939,0.85459,1.29866,0.42244,2.1643,0.006832,0.006832,0.006832
50,16147.7,1.54896,0.74164,2.1837,0.98962,0.99315,0.99398,0.85553,1.29794,0.42279,2.16389,0.006766,0.006766,0.006766
51,16464.6,1.54427,0.7391,2.1854,0.99009,0.99276,0.99396,0.85576,1.29709,0.42261,2.16292,0.0067,0.0067,0.0067
52,16781.8,1.54034,0.73109,2.18218,0.98936,0.99237,0.99396,0.85587,1.29713,0.42542,2.16276,0.006634,0.006634,0.006634
53,17098.9,1.53359,0.7309,2.1782,0.99015,0.99215,0.99384,0.85559,1.29697,0.4219,2.16283,0.006568,0.006568,0.006568
54,17415.8,1.52879,0.73409,2.17418,0.98824,0.99203,0.99376,0.855,1.29667,0.42267,2.1621,0.006502,0.006502,0.006502
55,17732.6,1.53179,0.73461,2.18105,0.98765,0.99324,0.99369,0.85376,1.29504,0.42231,2.16079,0.006436,0.006436,0.006436
56,18049.6,1.52478,0.73058,2.17555,0.99392,0.98634,0.99362,0.85391,1.29444,0.42379,2.15985,0.00637,0.00637,0.00637
57,18366.7,1.5113,0.72404,2.16589,0.98883,0.99072,0.99379,0.85383,1.29397,0.42674,2.15918,0.006304,0.006304,0.006304
58,18683.5,1.5211,0.71695,2.16905,0.98954,0.98977,0.99369,0.85416,1.29249,0.42709,2.1585,0.006238,0.006238,0.006238
59,19000.4,1.50745,0.70873,2.16316,0.99126,0.98819,0.99344,0.85406,1.2919,0.42766,2.15747,0.006172,0.006172,0.006172
60,19317.3,1.50641,0.71002,2.15901,0.99524,0.98679,0.99359,0.85471,1.29103,0.42536,2.15683,0.006106,0.006106,0.006106
61,19634.3,1.51587,0.71422,2.16814,0.98812,0.99064,0.99364,0.85423,1.2893,0.42516,2.15568,0.00604,0.00604,0.00604
62,19951.3,1.50346,0.7178,2.16488,0.98468,0.99582,0.99358,0.85387,1.28862,0.42558,2.15544,0.005974,0.005974,0.005974
63,20268.7,1.50009,0.71435,2.16065,0.99195,0.98763,0.99378,0.85534,1.28671,0.42221,2.15398,0.005908,0.005908,0.005908
64,20585.6,1.48697,0.70024,2.15277,0.98826,0.99238,0.99364,0.85735,1.28566,0.422,2.15324,0.005842,0.005842,0.005842
65,20902.5,1.5017,0.70259,2.16081,0.9932,0.98758,0.99356,0.85644,1.28444,0.42085,2.15219,0.005776,0.005776,0.005776
66,21225.6,1.48868,0.70175,2.15259,0.98608,0.99505,0.99365,0.8571,1.28385,0.4204,2.15168,0.00571,0.00571,0.00571
67,21549.7,1.48849,0.7004,2.14927,0.98674,0.99479,0.99369,0.85746,1.28347,0.42027,2.15132,0.005644,0.005644,0.005644
68,21873.8,1.47317,0.69029,2.14618,0.98712,0.99382,0.99362,0.85686,1.28201,0.42134,2.15044,0.005578,0.005578,0.005578
69,22198,1.47265,0.69472,2.1435,0.98779,0.9962,0.99379,0.85721,1.28126,0.41907,2.1496,0.005512,0.005512,0.005512
70,22522.3,1.4753,0.68993,2.14343,0.986,0.99645,0.99378,0.85766,1.28002,0.41837,2.14864,0.005446,0.005446,0.005446
71,22846.6,1.46493,0.69107,2.14125,0.98677,0.99674,0.99374,0.85901,1.27878,0.41726,2.14788,0.00538,0.00538,0.00538
72,23170.7,1.46096,0.67873,2.14217,0.98508,0.99657,0.99378,0.86031,1.27791,0.41606,2.14736,0.005314,0.005314,0.005314
73,23494.9,1.45675,0.68205,2.13378,0.9859,0.99367,0.99374,0.86048,1.27722,0.41724,2.1468,0.005248,0.005248,0.005248
74,23819.2,1.45426,0.68135,2.13442,0.98657,0.994,0.99381,0.86143,1.276,0.41456,2.14578,0.005182,0.005182,0.005182
75,24143.3,1.44407,0.66666,2.12702,0.99022,0.99156,0.99381,0.86182,1.27471,0.41414,2.14504,0.005116,0.005116,0.005116
76,24467.4,1.44306,0.66314,2.13472,0.98933,0.99613,0.99386,0.86214,1.27388,0.41171,2.1443,0.00505,0.00505,0.00505
77,24791.4,1.44491,0.66955,2.12274,0.98833,0.99547,0.99378,0.861,1.27327,0.4126,2.14369,0.004984,0.004984,0.004984
78,25115.5,1.44745,0.67503,2.13448,0.9872,0.99628,0.99382,0.86121,1.27272,0.41181,2.14318,0.004918,0.004918,0.004918
79,25439.6,1.43999,0.6738,2.13064,0.98903,0.99448,0.99383,0.86132,1.27185,0.41196,2.14256,0.004852,0.004852,0.004852
80,25763.7,1.42674,0.66847,2.12203,0.98834,0.99373,0.99382,0.86212,1.27039,0.41174,2.14179,0.004786,0.004786,0.004786
81,26088,1.42721,0.65951,2.12347,0.98834,0.99695,0.99394,0.86247,1.26913,0.41003,2.14092,0.00472,0.00472,0.00472
82,26412,1.42918,0.66219,2.12928,0.98823,0.9965,0.99393,0.86269,1.26848,0.40843,2.14052,0.004654,0.004654,0.004654
83,26736,1.4264,0.66737,2.1251,0.98833,0.997,0.99398,0.86319,1.26716,0.40811,2.13994,0.004588,0.004588,0.004588
84,27060,1.41814,0.65315,2.11908,0.98703,0.997,0.99393,0.8623,1.26587,0.40947,2.13914,0.004522,0.004522,0.004522
85,27384.2,1.4107,0.64845,2.11374,0.98811,0.99386,0.99395,0.86211,1.26465,0.41025,2.13873,0.004456,0.004456,0.004456
86,27708.3,1.40715,0.64708,2.11129,0.98848,0.99689,0.99395,0.86332,1.26356,0.40724,2.13781,0.00439,0.00439,0.00439
87,28032.4,1.40754,0.64563,2.11475,0.98698,0.99586,0.99391,0.86303,1.26291,0.40937,2.13757,0.004324,0.004324,0.004324
88,28356.4,1.40533,0.63834,2.10887,0.99226,0.9891,0.99387,0.86361,1.26149,0.40889,2.13684,0.004258,0.004258,0.004258
89,28680.6,1.39763,0.63946,2.10502,0.98504,0.99679,0.99391,0.86378,1.25999,0.40709,2.13617,0.004192,0.004192,0.004192
90,29004.5,1.39084,0.63902,2.10498,0.98981,0.99432,0.99398,0.86357,1.25884,0.40626,2.13573,0.004126,0.004126,0.004126
91,29328.7,1.38587,0.63672,2.10193,0.98678,0.99302,0.99397,0.86429,1.25775,0.40749,2.13542,0.00406,0.00406,0.00406
92,29652.6,1.37616,0.63047,2.09594,0.99489,0.98796,0.99395,0.86466,1.25694,0.40672,2.13475,0.003994,0.003994,0.003994
93,29976.6,1.37636,0.62361,2.09584,0.98567,0.99527,0.99393,0.86488,1.25612,0.40768,2.13401,0.003928,0.003928,0.003928
94,30300.7,1.38827,0.63366,2.10075,0.9863,0.9975,0.99393,0.86518,1.25493,0.40546,2.13341,0.003862,0.003862,0.003862
95,30624.9,1.37882,0.63741,2.09733,0.98667,0.99584,0.9939,0.86522,1.25334,0.40745,2.13288,0.003796,0.003796,0.003796
96,30949,1.37733,0.62583,2.09519,0.98555,0.99393,0.99387,0.86527,1.25254,0.40689,2.13222,0.00373,0.00373,0.00373
97,31273.3,1.37533,0.63055,2.09879,0.99367,0.98872,0.99386,0.86474,1.25125,0.40603,2.13149,0.003664,0.003664,0.003664
98,31597.5,1.36577,0.61878,2.09229,0.99335,0.98968,0.99395,0.86513,1.2494,0.40602,2.13047,0.003598,0.003598,0.003598
99,31921.6,1.35138,0.60998,2.08607,0.98825,0.99446,0.99396,0.86596,1.24755,0.40551,2.12938,0.003532,0.003532,0.003532
100,32245.6,1.35272,0.61248,2.08411,0.98823,0.99417,0.99392,0.86568,1.24643,0.40342,2.12894,0.003466,0.003466,0.003466
101,32569.6,1.35136,0.61537,2.08676,0.99049,0.99365,0.99394,0.866,1.24522,0.40194,2.12821,0.0034,0.0034,0.0034
102,32893.8,1.34606,0.60753,2.08257,0.9938,0.98655,0.99386,0.86705,1.24417,0.40459,2.12754,0.003334,0.003334,0.003334
103,33218,1.33202,0.61146,2.07669,0.99463,0.98865,0.99388,0.86685,1.24285,0.4024,2.12702,0.003268,0.003268,0.003268
104,33542.2,1.32536,0.6132,2.07552,0.9942,0.98884,0.9939,0.86686,1.24165,0.40033,2.12661,0.003202,0.003202,0.003202
105,33866.3,1.32384,0.60952,2.06835,0.99508,0.987,0.99384,0.86629,1.24071,0.40181,2.12612,0.003136,0.003136,0.003136
106,34190.5,1.32283,0.59939,2.06677,0.99433,0.9886,0.99388,0.86655,1.24009,0.40077,2.12578,0.00307,0.00307,0.00307
107,34514.6,1.31941,0.60159,2.07224,0.98784,0.99547,0.99391,0.86757,1.23927,0.39975,2.12539,0.003004,0.003004,0.003004
108,34838.7,1.31929,0.59804,2.06748,0.98629,0.99656,0.99388,0.86759,1.23884,0.40157,2.12511,0.002938,0.002938,0.002938
109,35163,1.31444,0.59272,2.06368,0.98919,0.99682,0.99395,0.86828,1.23726,0.39881,2.12432,0.002872,0.002872,0.002872
110,35487.1,1.30486,0.5878,2.05949,0.98794,0.99546,0.99387,0.86863,1.23617,0.39945,2.12374,0.002806,0.002806,0.002806
111,35811.2,1.30087,0.58169,2.05605,0.98372,0.9965,0.99384,0.86826,1.23486,0.40166,2.12302,0.00274,0.00274,0.00274
112,36135.3,1.29796,0.57983,2.05667,0.98642,0.9965,0.99391,0.86845,1.23335,0.39872,2.12231,0.002674,0.002674,0.002674
113,36459.4,1.29783,0.58733,2.05304,0.99306,0.99001,0.99392,0.86843,1.23199,0.39853,2.12173,0.002608,0.002608,0.002608
114,36783.6,1.2902,0.57596,2.05873,0.99181,0.98967,0.99387,0.86846,1.2311,0.40047,2.12151,0.002542,0.002542,0.002542
115,37107.7,1.28796,0.57859,2.05403,0.99457,0.98877,0.99397,0.86881,1.2298,0.39781,2.12069,0.002476,0.002476,0.002476
116,37431.8,1.27544,0.57223,2.04646,0.99364,0.98944,0.99386,0.86943,1.22879,0.3975,2.12035,0.00241,0.00241,0.00241
117,37755.8,1.27533,0.5748,2.04904,0.99322,0.98983,0.99395,0.86963,1.22762,0.3967,2.1197,0.002344,0.002344,0.002344
118,38079.9,1.28528,0.56665,2.04834,0.99357,0.98924,0.99399,0.8705,1.22637,0.39729,2.11891,0.002278,0.002278,0.002278
119,38404,1.26605,0.55968,2.04352,0.99099,0.99017,0.99376,0.87031,1.22567,0.39839,2.11837,0.002212,0.002212,0.002212
120,38728,1.26057,0.5578,2.0395,0.99351,0.98827,0.99373,0.86981,1.22412,0.39682,2.1177,0.002146,0.002146,0.002146
121,39052.1,1.26035,0.55534,2.0403,0.9918,0.98659,0.99368,0.86925,1.22281,0.40306,2.11694,0.00208,0.00208,0.00208
122,39376.3,1.25996,0.55971,2.04298,0.99203,0.99023,0.99387,0.86846,1.22126,0.40315,2.11598,0.002014,0.002014,0.002014
123,39700.4,1.25302,0.55599,2.03681,0.99071,0.99006,0.9936,0.86867,1.22009,0.404,2.11558,0.001948,0.001948,0.001948
124,40024.5,1.24416,0.54873,2.03291,0.99111,0.98737,0.99361,0.86826,1.21872,0.40852,2.11501,0.001882,0.001882,0.001882
125,40348.7,1.23301,0.53528,2.02649,0.994,0.9886,0.99354,0.86697,1.21789,0.40691,2.11436,0.001816,0.001816,0.001816
126,40672.7,1.23173,0.54316,2.03048,0.98992,0.98473,0.99376,0.86567,1.21733,0.41559,2.11403,0.00175,0.00175,0.00175
127,40997,1.23734,0.5472,2.02877,0.99144,0.98643,0.99379,0.8665,1.2166,0.40988,2.11366,0.001684,0.001684,0.001684
128,41321.1,1.22838,0.5393,2.02605,0.99061,0.98821,0.99377,0.86751,1.21592,0.40833,2.11326,0.001618,0.001618,0.001618
129,41645.3,1.21284,0.53058,2.01683,0.99286,0.98794,0.99361,0.8676,1.21503,0.40676,2.11259,0.001552,0.001552,0.001552
130,41969.3,1.21141,0.53712,2.02041,0.99353,0.989,0.99392,0.86908,1.21431,0.40693,2.11217,0.001486,0.001486,0.001486
131,42293.2,1.21304,0.53621,2.01947,0.98987,0.98786,0.99395,0.86926,1.21324,0.40752,2.11183,0.00142,0.00142,0.00142
132,42617.3,1.21043,0.52829,2.01334,0.99254,0.98878,0.99402,0.87059,1.21275,0.40199,2.11146,0.001354,0.001354,0.001354
133,42941.5,1.19272,0.52258,2.01113,0.99344,0.98892,0.99399,0.87099,1.21171,0.3981,2.1108,0.001288,0.001288,0.001288
134,43265.6,1.19283,0.52059,2.01102,0.99378,0.99079,0.99398,0.87051,1.21059,0.39638,2.11021,0.001222,0.001222,0.001222
135,43589.7,1.18499,0.51158,2.00711,0.9942,0.98952,0.99412,0.87061,1.20966,0.39721,2.10967,0.001156,0.001156,0.001156
136,43913.9,1.18584,0.51836,2.01147,0.99392,0.99011,0.99402,0.87078,1.20868,0.39472,2.10919,0.00109,0.00109,0.00109
137,44237.9,1.18337,0.52103,2.00885,0.99345,0.992,0.99409,0.87143,1.20772,0.3932,2.10877,0.001024,0.001024,0.001024
138,44561.9,1.1704,0.50949,1.99864,0.99337,0.99209,0.99412,0.87178,1.20696,0.39283,2.10802,0.000958,0.000958,0.000958
139,44886,1.16838,0.50978,1.99842,0.99248,0.99119,0.99408,0.87213,1.20596,0.39154,2.10755,0.000892,0.000892,0.000892
140,45210,1.16174,0.509,1.99626,0.99356,0.99255,0.99406,0.87258,1.20484,0.38901,2.10692,0.000826,0.000826,0.000826
141,45532.9,0.99917,0.36978,1.99892,0.9935,0.99294,0.99411,0.87288,1.20379,0.38832,2.10643,0.00076,0.00076,0.00076
142,45855.2,0.98875,0.36001,1.99004,0.99482,0.99235,0.99405,0.8732,1.20268,0.38767,2.10591,0.000694,0.000694,0.000694
143,46177.5,0.97777,0.3563,1.99084,0.99349,0.99244,0.99404,0.87265,1.20118,0.38906,2.10538,0.000628,0.000628,0.000628
144,46499.9,0.97117,0.35269,1.97735,0.99398,0.98993,0.99391,0.87211,1.20087,0.3902,2.10516,0.000562,0.000562,0.000562
145,46822.3,0.96555,0.34953,1.97599,0.99518,0.99166,0.99382,0.87231,1.19976,0.3874,2.10474,0.000496,0.000496,0.000496
146,47144.8,0.95201,0.34546,1.96956,0.99588,0.99233,0.99395,0.87264,1.19866,0.38608,2.10443,0.00043,0.00043,0.00043
147,47467.3,0.94306,0.34041,1.95969,0.99541,0.99215,0.994,0.87279,1.19816,0.38496,2.10441,0.000364,0.000364,0.000364
148,47789.8,0.93526,0.33909,1.96035,0.99264,0.99499,0.99401,0.87346,1.19727,0.38175,2.10415,0.000298,0.000298,0.000298
149,48112.3,0.93195,0.33529,1.95708,0.99296,0.99567,0.99399,0.8736,1.19668,0.38288,2.10365,0.000232,0.000232,0.000232
150,48434.7,0.92548,0.33327,1.95521,0.99317,0.99532,0.99402,0.87381,1.19575,0.38338,2.10346,0.000166,0.000166,0.000166
