epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,444.329,2.41697,9.76761,2.9018,0.6194,0.73678,0.78601,0.58073,1.96282,3.5565,2.73822,0.00333167,0.00333167,0.00333167
2,879.987,2.34113,4.91706,2.69935,0.77878,0.80648,0.89922,0.64693,2.12878,1.71906,2.86281,0.00662101,0.00662101,0.00662101
3,1241.03,2.46584,3.06061,2.75358,0.78646,0.86916,0.91866,0.63871,2.16918,1.46599,2.93385,0.00986636,0.00986636,0.00986636
4,1559.01,2.47853,2.38235,2.74653,0.89766,0.92226,0.95246,0.69327,2.00425,1.05364,2.78936,0.009802,0.009802,0.009802
5,1876.5,2.31475,1.81226,2.63288,0.92601,0.94686,0.97292,0.73739,1.84414,0.88187,2.60829,0.009736,0.009736,0.009736
6,2194.03,2.19941,1.57021,2.56047,0.95119,0.96949,0.98367,0.75465,1.78621,0.77577,2.5556,0.00967,0.00967,0.00967
7,2511.63,2.12499,1.42251,2.50993,0.96872,0.96113,0.98852,0.77216,1.73296,0.69276,2.52176,0.009604,0.009604,0.009604
8,2829.11,2.07006,1.32765,2.49302,0.96174,0.97291,0.98861,0.77497,1.69771,0.6764,2.50272,0.009538,0.009538,0.009538
9,3146.42,2.02212,1.27222,2.4589,0.972,0.97896,0.98783,0.78143,1.65204,0.63756,2.47436,0.009472,0.009472,0.009472
10,3463.86,1.98245,1.19674,2.43633,0.97851,0.97272,0.99031,0.79194,1.60219,0.62148,2.42112,0.009406,0.009406,0.009406
11,3781.41,1.93774,1.13422,2.40993,0.97268,0.97695,0.98979,0.79414,1.57582,0.60623,2.39361,0.00934,0.00934,0.00934
12,4098.67,1.9161,1.11461,2.39934,0.98108,0.98011,0.99036,0.80446,1.53542,0.57227,2.35724,0.009274,0.009274,0.009274
13,4415.91,1.89435,1.07874,2.37609,0.97792,0.97584,0.98968,0.8039,1.52251,0.58536,2.35185,0.009208,0.009208,0.009208
